match_id,ID,first name,last name,team_name,minute,yellow card,red card,2nd yellow card,match_period
M-2022-46,P-87514,Lee,Kang-in,South Korea,36',1,0,0,first half
M-2022-46,P-58692,Hee-chan,Hwang,South Korea,90'+2',1,0,0,"second half, stoppage time"
M-2022-47,P-29115,Pierre,Kunde,Cameroon,28',1,0,0,first half
M-2022-47,P-47677,Collins,Fai,Cameroon,32',1,0,0,first half
M-2022-47,P-55367,Nouhou,Tolo,Cameroon,6',1,0,0,first half
M-2022-47,P-55590,Éder,Militão,Brazil,7',1,0,0,first half
M-2022-47,P-53452,Vincent,Aboubakar,Cameroon,81',1,0,1,second half
M-2022-47,P-74688,Bruno,Guimarães,Brazil,85',1,0,0,second half
M-2022-48,P-38927,Silvan,Widmer,Switzerland,15',1,0,0,first half
M-2022-48,P-85823,Ruben,Vargas,Switzerland,34',1,0,0,first half
M-2022-48,P-27744,Sergej,Milinkovic-Savic,Serbia,47',1,0,0,second half
M-2022-48,P-98435,Strahinja,Pavlovic,Serbia,56',1,0,0,second half
M-2022-48,P-35773,Predrag,Rajkovic,Serbia,66',1,0,0,second half
M-2022-48,P-24610,Nemanja,Gudelj,Serbia,81',1,0,0,second half
M-2022-48,P-85696,Aleksandar,Mitrovic,Serbia,82',1,0,0,second half
M-2022-48,P-78056,Saša,Lukic,Serbia,90'+10',1,0,0,"second half, stoppage time"
M-2022-48,P-57535,Nikola,Milenkovic,Serbia,90'+5',1,0,0,"second half, stoppage time"
M-2022-48,P-77224,Granit,Xhaka,Switzerland,90'+5',1,0,0,"second half, stoppage time"
M-2022-48,P-25131,Fabian,Schär,Switzerland,90'+9',1,0,0,"second half, stoppage time"
M-2022-49,P-35705,Teun,Koopmeiners,Netherlands,60',1,0,0,second half
M-2022-49,P-17688,Frenkie,de Jong,Netherlands,87',1,0,0,second half
M-2022-50,P-34822,Jackson,Irvine,Australia,15',1,0,0,first half
M-2022-50,P-59727,Miloš,Degenek,Australia,38',1,0,0,first half
M-2022-51,P-54517,Aurélien,Tchouaméni,France,32',1,0,0,first half
M-2022-51,P-42160,Bartosz,Bereszynski,Poland,47',1,0,0,second half
M-2022-51,P-17099,Matty,Cash,Poland,88',1,0,0,second half
M-2022-52,P-47321,Kalidou,Koulibaly,Senegal,76',1,0,0,second half
M-2022-53,P-95766,Borna,Barišic,Croatia,116',1,0,0,"extra time, second half"
M-2022-53,P-07670,Mateo,Kovacic,Croatia,90',1,0,0,second half
M-2022-54,P-64292,Woo-young,Jung,South Korea,44',1,0,0,first half
M-2022-55,P-99025,Aymeric,Laporte,Spain,77',1,0,0,second half
M-2022-55,P-26068,Romain,Saïss,Morocco,90',1,0,0,second half
M-2022-56,P-25131,Fabian,Schär,Switzerland,43',1,0,0,first half
M-2022-56,P-56868,Eray,Cömert,Switzerland,59',1,0,0,second half
M-2022-57,P-46461,Bruno,Petkovic,Croatia,117',1,0,0,"extra time, second half"
M-2022-57,P-40137,not applicable,Danilo,Brazil,25',1,0,0,first half
M-2022-57,P-79215,Marcelo,Brozovic,Croatia,31',1,0,0,first half
M-2022-57,P-02305,not applicable,Casemiro,Brazil,68',1,0,0,second half
M-2022-57,P-76060,not applicable,Marquinhos,Brazil,77',1,0,0,second half
M-2022-58,P-91431,Gonzalo,Montiel,Argentina,109',1,0,0,"extra time, second half"
M-2022-58,P-29298,Germán,Pezzella,Argentina,112',1,0,0,"extra time, second half"
M-2022-58,P-97615,Denzel,Dumfries,Netherlands,120'+8',1,0,1,"extra time, second half, stoppage time"
M-2022-58,P-57903,Noa,Lang,Netherlands,120'+9',1,0,0,"extra time, second half, stoppage time"
M-2022-58,P-74111,Jurriën,Timber,Netherlands,43',1,0,0,first half
M-2022-58,P-73712,Marcos,Acuña,Argentina,43',1,0,0,first half
M-2022-58,P-79650,Cristian,Romero,Argentina,45',1,0,0,first half
M-2022-58,P-95036,Wout,Weghorst,Netherlands,45'+2',1,0,0,"first half, stoppage time"
M-2022-58,P-27540,Memphis,Depay,Netherlands,76',1,0,0,second half
M-2022-58,P-23070,Lisandro,Martínez,Argentina,76',1,0,0,second half
M-2022-58,P-10326,Steven,Berghuis,Netherlands,88',1,0,0,second half
M-2022-58,P-27582,Leandro,Paredes,Argentina,89',1,0,0,second half
M-2022-58,P-14758,Lionel,Messi,Argentina,90'+10',1,0,0,"second half, stoppage time"
M-2022-58,P-49114,Nicolás,Otamendi,Argentina,90'+12',1,0,0,"second half, stoppage time"
M-2022-58,P-44799,Steven,Bergwijn,Netherlands,91',1,0,0,"extra time, first half"
M-2022-59,P-52013,Achraf,Dari,Morocco,70',1,0,0,second half
M-2022-59,P-89266,not applicable,Vitinha,Portugal,87',1,0,0,second half
M-2022-59,P-05216,Walid,Cheddira,Morocco,90'+1',1,0,1,"second half, stoppage time"
