booking_id,match_id,player_id,minute,yellow card,red card,2nd yellow card,match_period
B-205,M-2022-59,P-89266,87',1,0,0,second half
B-206,M-2022-59,P-05216,90'+1',1,0,1,"second half, stoppage time"
B-207,M-2022-60,P-90908,43',1,0,0,first half
B-208,M-2022-60,P-97778,46',1,0,0,second half
B-209,M-2022-60,P-09867,82',1,0,0,second half
B-210,M-2022-60,P-02465,90',1,0,0,second half
B-211,M-2022-61,P-99988,32',1,0,0,first half
B-212,M-2022-61,P-07670,32',1,0,0,first half
B-213,M-2022-61,P-79650,68',1,0,0,second half
B-214,M-2022-61,P-49114,71',1,0,0,second half
B-215,M-2022-62,P-59033,27',1,0,0,first half
B-216,M-2022-63,P-40619,69',1,0,0,second half
B-217,M-2022-63,P-23330,84',1,0,0,second half
B-218,M-2022-64,P-27582,114',1,0,0,"extra time, second half"
B-219,M-2022-64,P-91431,116',1,0,0,"extra time, second half"
B-220,M-2022-64,P-13162,120'+5',1,0,0,"extra time, second half, stoppage time"
B-221,M-2022-64,P-10739,45'+7',1,0,0,"first half, stoppage time"
B-222,M-2022-64,P-57401,55',1,0,0,second half
B-223,M-2022-64,P-13613,87',1,0,0,second half
B-224,M-2022-64,P-89750,90'+5',1,0,0,"second half, stoppage time"
B-225,M-2022-64,P-73712,90'+8',1,0,0,"second half, stoppage time"
